25 300
1 2 1034
1 3 1050
1 4 1198
1 5 1027
1 6 822
1 7 959
1 8 138
1 9 802
1 10 941
1 11 246
1 12 409
1 13 460
1 14 176
1 15 177
1 16 486
1 17 817
1 18 180
1 19 444
1 20 456
1 21 608
1 22 433
1 23 122
1 24 298
1 25 917
2 3 1026
2 4 1128
2 5 1172
2 6 536
2 7 103
2 8 339
2 9 690
2 10 173
2 11 162
2 12 118
2 13 527
2 14 381
2 15 315
2 16 135
2 17 432
2 18 408
2 19 394
2 20 207
2 21 344
2 22 301
2 23 304
2 24 601
2 25 134
3 4 1140
3 5 1111
3 6 997
3 7 647
3 8 730
3 9 518
3 10 773
3 11 852
3 12 721
3 13 277
3 14 129
3 15 192
3 16 157
3 17 363
3 18 531
3 19 246
3 20 391
3 21 431
3 22 980
3 23 101
3 24 273
3 25 504
4 5 1015
4 6 552
4 7 924
4 8 526
4 9 485
4 10 405
4 11 194
4 12 716
4 13 735
4 14 841
4 15 367
4 16 670
4 17 588
4 18 417
4 19 438
4 20 297
4 21 113
4 22 944
4 23 937
4 24 294
4 25 549
5 6 935
5 7 853
5 8 451
5 9 738
5 10 501
5 11 813
5 12 231
5 13 794
5 14 310
5 15 706
5 16 645
5 17 340
5 18 836
5 19 739
5 20 592
5 21 568
5 22 800
5 23 730
5 24 905
5 25 535
6 7 1057
6 8 1062
6 9 1027
6 10 1190
6 11 595
6 12 223
6 13 177
6 14 716
6 15 126
6 16 773
6 17 823
6 18 122
6 19 246
6 20 602
6 21 162
6 22 576
6 23 607
6 24 182
6 25 589
7 8 1008
7 9 1112
7 10 1022
7 11 876
7 12 503
7 13 268
7 14 224
7 15 800
7 16 824
7 17 456
7 18 620
7 19 145
7 20 898
7 21 843
7 22 446
7 23 971
7 24 654
7 25 181
8 9 1002
8 10 1005
8 11 438
8 12 346
8 13 733
8 14 234
8 15 450
8 16 115
8 17 984
8 18 552
8 19 951
8 20 812
8 21 262
8 22 602
8 23 595
8 24 609
8 25 156
9 10 1173
9 11 828
9 12 878
9 13 116
9 14 403
9 15 116
9 16 694
9 17 463
9 18 994
9 19 378
9 20 414
9 21 616
9 22 754
9 23 604
9 24 447
9 25 702
10 11 368
10 12 719
10 13 520
10 14 681
10 15 681
10 16 307
10 17 990
10 18 487
10 19 316
10 20 106
10 21 899
10 22 520
10 23 243
10 24 737
10 25 377
11 12 1057
11 13 1062
11 14 1022
11 15 1080
11 16 335
11 17 487
11 18 770
11 19 371
11 20 387
11 21 809
11 22 609
11 23 430
11 24 953
11 25 481
12 13 1017
12 14 1009
12 15 1044
12 16 655
12 17 955
12 18 913
12 19 337
12 20 593
12 21 855
12 22 870
12 23 926
12 24 831
12 25 456
13 14 1170
13 15 1078
13 16 353
13 17 834
13 18 661
13 19 324
13 20 313
13 21 976
13 22 815
13 23 478
13 24 219
13 25 772
14 15 1076
14 16 954
14 17 870
14 18 404
14 19 949
14 20 678
14 21 980
14 22 232
14 23 695
14 24 830
14 25 501
15 16 216
15 17 596
15 18 738
15 19 188
15 20 342
15 21 425
15 22 318
15 23 716
15 24 803
15 25 181
16 17 1117
16 18 1010
16 19 1017
16 20 1044
16 21 658
16 22 197
16 23 876
16 24 788
16 25 181
17 18 1024
17 19 1103
17 20 1036
17 21 784
17 22 950
17 23 127
17 24 293
17 25 519
18 19 1141
18 20 1092
18 21 616
18 22 362
18 23 462
18 24 692
18 25 210
19 20 1161
19 21 903
19 22 353
19 23 477
19 24 303
19 25 476
20 21 566
20 22 534
20 23 787
20 24 615
20 25 336
21 22 1148
21 23 1031
21 24 1049
21 25 1084
22 23 1002
22 24 1046
22 25 1088
23 24 1188
23 25 1114
24 25 1012
